model,dataset,sensitivity_mean,sensitivity_std,specificity_mean,specificity_std,roc_auc_mean,roc_auc_std,TN,FP,FN,TP,model_parameters,diagnostic_odds_ratio_mean,diagnostic_odds_ratio_std
LR,train,78.76666666666667,7.969804124178823,84.63593073593074,4.924239217923883,82.73434934630586,6.631324694770317,178,40,47,199,"{""C"": 0.1, ""penalty"": ""l2"", ""solver"": ""liblinear""}",18.841489361702127,0
NN,train,77.7,9.539042579490529,83.26937229437229,3.173211275153557,78.3645294488544,5.500773110075921,213,5,1,245,"{""activation"": ""relu"", ""alpha"": 1e-06, ""hidden_layer_sizes"": [10, 5], ""max_iter"": 400, ""solver"": ""lbfgs""}",10437.0,0
XB,train,93.91666666666667,3.717264525905515,85.62218614718616,4.544959503294154,83.83221690590112,6.61304677234527,98,120,15,231,"{""learning_rate"": 0.005, ""max_depth"": 4, ""min_child_weight"": 10, ""n_estimators"": 25, ""subsample"": 0.7}",12.576666666666666,0
